D,pid,amount_soon,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,sub21,sub22,sub23,sub24,sub25,sub26,sub27,sub28,sub29,sub30
1,1,50000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,45000,2,2,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,1,2,1,1
1,1,40000,2,2,1,2,2,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1
1,1,35000,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2
1,1,30000,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2
1,1,25000,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
1,1,20000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
1,1,15000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,10000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,5000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,50000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,2,45000,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1
3,2,40000,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1
3,2,35000,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2
3,2,30000,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2
3,2,25000,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2
3,2,20000,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2
3,2,15000,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,10000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,5000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,3,50000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
6,3,45000,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1
6,3,40000,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1
6,3,35000,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,2
6,3,30000,2,2,1,2,1,1,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2
6,3,25000,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2
6,3,20000,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2
6,3,15000,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
6,3,10000,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
6,3,5000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12,4,50000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,4,45000,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1
12,4,40000,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1
12,4,35000,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,1,2,1,2
12,4,30000,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,2,1,2
12,4,25000,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2
12,4,20000,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2
12,4,15000,2,2,1,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2
12,4,10000,2,2,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2
12,4,5000,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
24,5,50000,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,5,45000,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
24,5,40000,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1
24,5,35000,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1
24,5,30000,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1
24,5,25000,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2
24,5,20000,2,2,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,2
24,5,15000,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,1,2
24,5,10000,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,1,2,2,1,2,1,2
24,5,5000,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2
